"project";"link";"area";"price_with_discount";"price_without_discount";"flat_id"
"Республики 205";"https://tyumen.brusnika.ru/flat/58381/";"44,1";"8660000";"10820000";"58381"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/54212/";"61,7";"8660000";"11570000";"54212"
"Зарека";"https://tyumen.brusnika.ru/flat/69676/";"45,1";"8670000";"10840000";"69676"
"Дом у озера";"https://tyumen.brusnika.ru/flat/67942/";"42,9";"8680000";"10210000";"67942"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52240/";"72,5";"8700000";"11370000";"52240"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46591/";"65,4";"8710000";"11260000";"46591"
"Дом у озера";"https://tyumen.brusnika.ru/flat/63924/";"42,3";"8740000";"10280000";"63924"
"Зарека";"https://tyumen.brusnika.ru/flat/67299/";"59";"8740000";"9600000";"67299"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/43584/";"65";"8740000";"11650000";"43584"
"Республики 205";"https://tyumen.brusnika.ru/flat/44265/";"69,7";"8790000";"12120000";"44265"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/51783/";"64,7";"8800000";"14220000";"51783"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52244/";"64,5";"8800000";"14210000";"52244"
"Дом у озера";"https://tyumen.brusnika.ru/flat/67940/";"43,3";"8810000";"10370000";"67940"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/60385/";"68,2";"8820000";"11780000";"60385"
"Зарека";"https://tyumen.brusnika.ru/flat/67100/";"42,4";"8820000";"9690000";"67100"
"Зарека";"https://tyumen.brusnika.ru/flat/66996/";"50,5";"8820000";"11020000";"66996"
"Зарека";"https://tyumen.brusnika.ru/flat/67169/";"59";"8870000";"9750000";"67169"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52250/";"63,3";"8880000";"11600000";"52250"
"Дом у озера";"https://tyumen.brusnika.ru/flat/46981/";"43,2";"8890000";"11110000";"46981"
"Дом у озера";"https://tyumen.brusnika.ru/flat/47972/";"42,2";"8890000";"11110000";"47972"
"Дом у озера";"https://tyumen.brusnika.ru/flat/47990/";"42,2";"8900000";"11130000";"47990"
"Дом у озера";"https://tyumen.brusnika.ru/flat/46986/";"42,9";"8900000";"11130000";"46986"
"Дом у озера";"https://tyumen.brusnika.ru/flat/47933/";"43,2";"8900000";"11130000";"47933"
"Зарека";"https://tyumen.brusnika.ru/flat/67195/";"61,8";"8900000";"9780000";"67195"
"Зарека";"https://tyumen.brusnika.ru/flat/67918/";"50,4";"8940000";"11170000";"67918"
"Зарека";"https://tyumen.brusnika.ru/flat/70090/";"47,1";"8950000";"11190000";"70090"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46623/";"70,5";"8960000";"11640000";"46623"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46648/";"70,5";"8960000";"11640000";"46648"
"Речной порт";"https://tyumen.brusnika.ru/flat/67935/";"40,5";"8980000";"11230000";"67935"
"Зарека";"https://tyumen.brusnika.ru/flat/67284/";"59,1";"9030000";"9920000";"67284"
"Зарека";"https://tyumen.brusnika.ru/flat/52945/";"52,2";"9030000";"11290000";"52945"
"Зарека";"https://tyumen.brusnika.ru/flat/67242/";"61,9";"9040000";"9930000";"67242"
"Зарека";"https://tyumen.brusnika.ru/flat/70089/";"50,8";"9050000";"11310000";"70089"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48589/";"67,7";"9060000";"13530000";"48589"
"Республики 205";"https://tyumen.brusnika.ru/flat/67340/";"57,4";"9070000";"11340000";"67340"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48557/";"67,7";"9100000";"13570000";"48557"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48862/";"70,8";"9100000";"12080000";"48862"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48545/";"71,4";"9100000";"12150000";"48545"
"Республики 205";"https://tyumen.brusnika.ru/flat/54959/";"57,4";"9140000";"11420000";"54959"
"Республики 205";"https://tyumen.brusnika.ru/flat/67341/";"57,4";"9140000";"11420000";"67341"
"Речной порт";"https://tyumen.brusnika.ru/flat/67606/";"50,6";"9140000";"11430000";"67606"
"Зарека";"https://tyumen.brusnika.ru/flat/67019/";"62";"9140000";"10040000";"67019"
"Речной порт";"https://tyumen.brusnika.ru/flat/56684/";"43,1";"9150000";"11440000";"56684"
"Речной порт";"https://tyumen.brusnika.ru/flat/54118/";"43,1";"9150000";"11440000";"54118"
"Зарека";"https://tyumen.brusnika.ru/flat/67207/";"61,9";"9160000";"10070000";"67207"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62444/";"45";"9160000";"11840000";"62444"
"Зарека";"https://tyumen.brusnika.ru/flat/67166/";"61,9";"9170000";"10080000";"67166"
"Зарека";"https://tyumen.brusnika.ru/flat/66997/";"50,7";"9180000";"11480000";"66997"
"Зарека";"https://tyumen.brusnika.ru/flat/66992/";"50,7";"9180000";"11480000";"66992"
"Речной порт";"https://tyumen.brusnika.ru/flat/56482/";"43,1";"9220000";"11520000";"56482"
"Речной порт";"https://tyumen.brusnika.ru/flat/67888/";"39,9";"9220000";"11520000";"67888"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62460/";"41,6";"9230000";"10860000";"62460"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56278/";"45";"9240000";"11920000";"56278"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58328/";"45";"9240000";"11920000";"58328"
"Зарека";"https://tyumen.brusnika.ru/flat/67214/";"46,1";"9240000";"10150000";"67214"
"Зарека";"https://tyumen.brusnika.ru/flat/67229/";"64,6";"9240000";"10150000";"67229"
"Речной порт";"https://tyumen.brusnika.ru/flat/56741/";"43,3";"9260000";"11580000";"56741"
"Речной порт";"https://tyumen.brusnika.ru/flat/67936/";"43,3";"9260000";"11580000";"67936"
"Зарека";"https://tyumen.brusnika.ru/flat/67259/";"61,9";"9260000";"10180000";"67259"
"Республики 205";"https://tyumen.brusnika.ru/flat/48927/";"60,8";"9290000";"12390000";"48927"
"Речной порт";"https://tyumen.brusnika.ru/flat/67921/";"41,9";"9300000";"11620000";"67921"
"Речной порт";"https://tyumen.brusnika.ru/flat/66326/";"40,2";"9310000";"11640000";"66326"
"Зарека";"https://tyumen.brusnika.ru/flat/67035/";"63,4";"9320000";"10240000";"67035"
"Зарека";"https://tyumen.brusnika.ru/flat/67264/";"63,3";"9320000";"10240000";"67264"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/49643/";"44,3";"9330000";"12050000";"49643"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62908/";"41,7";"9330000";"10980000";"62908"
